Area Category,Nama Daerah,Luas Tanah (m2),Luas Bangunan (m2),Jumlah Kamar,Jumlah Kamar Mandi,Tingkat/Lantai ,Harga Penawaran (dari Owner),Terjual/Belum,Arah Hadap Rumah,Posisi Rumah,Lebar Jalan Depan Rumah (ROW)
,,,,,,,,,,,
Below Standard,Setro Baru Utara,30.0,60.0,2.0,1.0,2.0,287799000.0,Belum,,Standard,< 1 Mobil
Standard,Kenjeran,170.0,170.0,5.0,4.0,2.0,2699999999.0,Belum,Selatan,Cul De Sac/Ujung Gang Buntu,1-2 Mobil
Sangat Premium,Kenjeran,187.0,250.0,5.0,5.0,2.0,3100000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Kenjeran,350.0,600.0,5.0,5.0,2.0,5000000000.0,Belum,Barat,Standard,1-2 Mobil
Premium,Kenjeran,450.0,530.0,5.0,6.0,2.0,10800000000.0,Belum,,Standard,1-2 Mobil
Below Standard,Gubeng,96.0,60.0,2.0,1.0,1.0,390000000.0,Belum,,Standard,1-2 Mobil
Premium,Gubeng,85.0,100.0,3.0,2.0,2.0,725000000.0,Belum,,Standard,1-2 Mobil
Below Standard,Sawahan,72.0,120.0,4.0,1.0,1.0,775000000.0,Belum,Barat,Tikungan/Hook,< 1 Mobil
Standard,Gubeng,50.0,100.0,2.0,2.0,2.0,850000000.0,Belum,,Standard,1-2 Mobil
Standard,Mulyorejo,72.0,72.0,3.0,2.0,1.0,1100000000.0,Belum,Selatan,Standard,> 2 Mobil
Below Standard,Gubeng,100.0,90.0,2.0,2.0,1.0,1199999999.0,Belum,,Standard,1-2 Mobil
Premium,Tegalsari,90.0,76.0,2.0,2.0,2.0,1266655525.0,Belum,,Standard,1-2 Mobil
Standard,Gubeng,104.0,215.0,4.0,4.0,2.0,1350000000.0,Belum,Timur,Standard,1-2 Mobil
Standard,Gubeng,104.0,215.0,4.0,4.0,2.0,1350000000.0,Belum,Timur,Standard,1-2 Mobil
Standard,Gubeng,84.0,120.0,4.0,2.0,2.0,1350000000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Mulyorejo,158.0,230.0,2.0,2.0,2.0,1650000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Mulyorejo,144.0,182.0,4.0,3.0,2.0,2100000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Sawahan,163.0,180.0,5.0,4.0,2.0,2100000000.0,Belum,Selatan,Standard,1-2 Mobil
Below Standard,Tegalsari,150.0,150.0,2.0,1.0,1.0,2300000000.0,Belum,,Standard,< 1 Mobil
Standard,Mulyorejo,140.0,140.0,3.0,2.0,2.0,2400000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Gubeng,96.0,228.0,4.0,2.0,2.0,2699999999.0,Belum,,Standard,1-2 Mobil
Standard,Gubeng,204.0,250.0,3.0,4.0,2.0,2750000000.0,Belum,,Standard,> 2 Mobil
Premium,Mulyorejo,144.0,180.0,5.0,4.0,2.0,2900000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Gubeng,200.0,180.0,4.0,3.0,1.0,3200000000.0,Belum,Utara,Standard,1-2 Mobil
Standard,Gubeng,180.0,320.0,6.0,4.0,2.0,3200000000.0,Belum,Selatan,Standard,> 2 Mobil
Standard,Tambaksari,180.0,160.0,4.0,4.0,2.0,3700000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Mulyorejo,200.0,250.0,4.0,3.0,2.0,3900000000.0,Belum,Utara,Standard,1-2 Mobil
Standard,Tambaksari,420.0,570.0,5.0,4.0,2.0,4500000000.0,Belum,Timur,Standard,1-2 Mobil
Premium,Gubeng,204.0,270.0,5.0,4.0,2.0,4700000000.0,Belum,Timur,Tikungan/Hook,> 2 Mobil
Premium,Mulyorejo,200.0,211.0,4.0,5.0,2.0,4900000000.0,Belum,Selatan,Standard,> 2 Mobil
Premium,Gubeng,312.0,500.0,6.0,5.0,2.0,5500000000.0,Belum,,Standard,1-2 Mobil
Premium,Mulyorejo,264.0,400.0,4.0,3.0,2.0,5500000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Mulyorejo,240.0,263.0,4.0,3.0,2.0,6000000000.0,Belum,,Standard,1-2 Mobil
Standard,Gubeng,297.0,290.0,8.0,3.0,2.0,7500000000.0,Belum,Utara,Tikungan/Hook,1-2 Mobil
Premium,Tegalsari,352.0,367.0,5.0,7.0,2.0,8250000000.0,Belum,Utara,Tikungan/Hook,> 2 Mobil
Sangat Premium,Mulyorejo,450.0,4 98,5.0,3.0,2.0,9500000000.0,Belum,Timur,Standard,1-2 Mobil
Sangat Premium,Mulyorejo,343.0,601.0,7.0,4.0,3.0,12000000000.0,Belum,Barat,Tikungan/Hook,1-2 Mobil
Standard,Gubeng,525.0,300.0,6.0,3.0,1.0,13500000000.0,Belum,,Standard,1-2 Mobil
Standard,Gubeng,522.0,1000.0,7.0,6.0,2.0,18000000000.0,Belum,,Standard,1-2 Mobil
Standard,Gubeng,600.0,600.0,7.0,5.0,1.0,99000000000.0,Belum,Barat,Standard,1-2 Mobil
Standard,Mulyorejo,180.0,240.0,5.0,5.0,2.0, ,Belum,Timur,Standard,> 2 Mobil
Below Standard,Kalilom Lor Timur,14.0,14.0,1.0,1.0,2.0,180000000.0,Belum,,Standard,< 1 Mobil
Below Standard,Jelidro Manukan,42.0,42.0,2.0,1.0,1.0,185000000.0,Belum,,Standard,< 1 Mobil
Below Standard,Kalilom,21.0,40.0,2.0,1.0,2.0,225000000.0,Belum,,Standard,1-2 Mobil
Below Standard,Bulak Cumpat barat,16.0,150.0,2.0,1.0,2.0,230000000.0,Belum,,Standard,1-2 Mobil
Standard,Tambak Wedi,18.0,36.0,2.0,1.0,2.0,250000000.0,Belum,,Standard,1-2 Mobil
Below Standard,Lebak Jaya,32.0,16.0,2.0,1.0,2.0,260000000.0,Belum,Utara,Standard,1-2 Mobil
Below Standard,Setro Baru Utara,26.0,50.0,2.0,2.0,2.0,310000000.0,Belum,,Standard,< 1 Mobil
Below Standard,Simo Gunung Kramat Timur,36.0,36.0,2.0,1.0,2.0,340000000.0,Belum,,Standard,< 1 Mobil
Below Standard,Medokan Ayu,50.0,50.0,2.0,1.0,1.0,375000000.0,Belum,,Standard,1-2 Mobil
Standard,Lebak Rejo,32.0,64.0,2.0,2.0,2.0,440000000.0,Belum,,Standard,1-2 Mobil
Standard,Medokan Sawah,51.0,70.0,2.0,2.0,2.0,477500000.0,Belum,,Standard,1-2 Mobil
Below Standard,Klampis Ngasem,36.0,36.0,2.0,2.0,2.0,550000000.0,Belum,,Standard,1-2 Mobil
Below Standard,Medokan Sawah,65.0,50.0,2.0,1.0,1.0,620000000.0,Belum,,Standard,> 2 Mobil
Standard,Medokan Sawah Timur,85.0,70.0,3.0,1.0,1.0,625000000.0,Belum,,Standard,1-2 Mobil
Premium,Citraland Golf Avenue,252.0,300.0,5.0,5.0,2.0,645000000.0,Belum,Utara,Tikungan/Hook,1-2 Mobil
Standard,Wisata Semanggi,72.0,50.0,2.0,1.0,1.0,650000000.0,Belum,Selatan,Standard,1-2 Mobil
Below Standard,Kedung Klinter,51.0,135.0,5.0,2.0,3.0,750000000.0,Belum,,Standard,
Standard,Gading Indah Regency,113.0,53.0,2.0,1.0,1.0,850000000.0,Belum,,Standard,1-2 Mobil
Standard,Gunung Anyar Mas,100.0,190.0,4.0,4.0,3.0,895000000.0,Belum,,Standard,> 2 Mobil
Standard,Kutisari Utara,50.0,100.0,6.0,6.0,2.0,925000000.0,Belum,,Standard,1-2 Mobil
Standard,Lebak Jaya,55.0,80.0,3.0,2.0,2.0,950000000.0,Belum,,Standard,1-2 Mobil
Standard,Mulyosari Tengah,72.0,72.0,2.0,1.0,1.0,975000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Kapas Madya,84.0,140.0,4.0,2.0,2.0,1000000000.0,Belum,Timur,Standard,1-2 Mobil
Below Standard,Bratang Gede,130.0,130.0,3.0,2.0,1.0,1050000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Citraland Utara,97.0,50.0,2.0,1.0,1.0,1149000000.0,Belum,Barat,Standard,> 2 Mobil
Standard,Lebak Jaya Utara,110.0,200.0,3.0,2.0,2.0,1350000000.0,Belum,Timur,Standard,1-2 Mobil
Standard,Mulyosari Timur,157.0,300.0,4.0,5.0,2.0,3450000000.0,Belum,Timur,Standard,1-2 Mobil
Premium,Pakuwon City,96.0,120.0,4.0,4.0,2.0,2800000000.0,Belum,Utara,Standard,1-2 Mobil
Standard,Pakuwon City,105.0,190.0,4.0,4.0,2.0,3199000000.0,Belum,Utara,Standard,1-2 Mobil
Standard,Pakuwon city,180.0,280.0,5.0,4.0,2.0,3950000000.0,Belum,Utara,Standard,1-2 Mobil
Premium,Pakuwon City,180.0,232.0,4.0,4.0,2.0,4500000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Pakuwon City,240.0,300.0,5.0,5.0,2.0,4888888888.0,Belum,Timur,Tikungan/Hook,1-2 Mobil
Standard,Pakuwon City,240.0,320.0,5.0,5.0,2.0,8000000000.0,Belum,Selatan,Standard,1-2 Mobil
Premium,Pakuwon City,660.0,550.0,3.0,4.0,2.0,12999999999.0,Belum,,Standard,1-2 Mobil
Premium,Pakuwon City,450.0,620.0,6.0,6.0,2.0,15500000000.0,Belum,Selatan,Standard,1-2 Mobil
Sangat Premium,Pakuwon City,845.0,1200.0,7.0,8.0,2.0,39999990000.0,Belum,,,
Premium,Pakuwon City Florence,144.0,180.0,5.0,4.0,2.0,2900000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Pantai Mentari,170.0,120.0,4.0,3.0,1.0,2400000000.0,Belum,Utara,Standard,> 2 Mobil
Premium,Royal Residence,178.0,165.0,4.0,4.0,2.0,2950000000.0,Belum,Selatan,Standard,> 2 Mobil
Premium,Royal Residence,166.0,225.0,6.0,4.0,2.0,3100000000.0,Belum,Selatan,Standard,1-2 Mobil
Standard,Villa Kalijudan Indah,120.0,130.0,3.0,2.0,2.0,1350000000.0,Belum,,Standard,1-2 Mobil
Premium,Sutorejo Timur,60.0,100.0,3.0,2.0,2.0,1350000000.0,Belum,Timur,Standard,1-2 Mobil
Premium,Springville Residence,57.0,101.0,3.0,1.0,2.0,1376000000.0,Belum,,Standard,> 2 Mobil
Standard,Sukomanunggal,275.0,260.0,3.0,2.0,1.0,3500000000.0,Belum,,Standard,1-2 Mobil
Premium,Surabaya Pusat,378.0,365.0,5.0,5.0,1.0,7500000000.0,Belum,Utara,Standard,
Premium,Su,158.0,220.0,4.0,3.0,2.0,2699000000.0,Belum,,Standard,1-2 Mobil
Below Standard,Tambak Wedi,16.0,16.0,1.0,1.0,1.0,160000000.0,Belum,Timur,Standard,< 1 Mobil
Standard,Mulyosari,72.0,96.0,3.0,2.0,2.0,1400000000.0,Belum,,Standard,1-2 Mobil
Standard,Krukah Selatan,102.0,208.0,6.0,4.0,2.0,1400000000.0,Belum,,Standard,1-2 Mobil
